Pledge Date,Amount,Stage,Campaign Name,Zip/Postal Code,Account ID
12/19/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94118,0015000000VRR0v
12/19/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94115,0015000000VRRFE
12/19/05,"$5,000.00 ",Posted,FY06 Annual Appeal (2005),94027,0015000000VRR2E
12/19/05,"$5,000.00 ",Posted,FY06 Annual Appeal (2005),94025,0015000000VRRFZ
12/19/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94133,0015000000VRR1p
12/20/05,$194.00 ,Posted,FY06 Annual Appeal (2005),94110,0015000000VRRGB
12/20/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94109,0015000000VRREW
12/21/05,$500.00 ,Posted,FY06 Annual Appeal (2005),11217,0015000000VRR0S
12/21/05,$500.00 ,Posted,FY06 Annual Appeal (2005),11217,0015000000VRR0S
12/21/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94107,0015000000VRREY
12/21/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94117,0015000000VRRF3
12/21/05,"$5,000.00 ",Posted,FY06 Annual Appeal (2005),94957,0015000000VRR1A
12/21/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94133,0015000000VRR1J
12/21/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94109,0015000000VRR1a
12/22/05,"$5,000.00 ",Posted,FY06 Annual Appeal (2005),94109,0015000000VRR0D
12/22/05,"$10,000.00 ",Posted,FY06 Annual Appeal (2005),94118,0015000000VRR1N
12/22/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94109,0015000000VRR1a
12/23/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94301,0015000000VRR1Y
12/27/05,"$25,000.00 ",Posted,FY06 Annual Appeal (2005),94121,0015000000VRR2H
12/27/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94103,0015000000VRR1z
12/28/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94114,0015000000VRR72
12/28/05,"$30,320.14 ",Posted,FY06 Annual Appeal (2005),94109,0015000000VRRES
12/28/05,$250.00 ,Posted,FY06 Annual Appeal (2005),,0015000000VRR0V
12/28/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94549,0015000000VRR0l
12/28/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94133,0015000000VRR1s
12/30/05,"$2,000.00 ",Posted,FY06 Annual Appeal (2005),94123,0015000000VRR4y
12/30/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94901,0015000000VRR4M
12/30/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94115,0015000000VRR4u
12/30/05,"$2,500.00 ",Posted,FY06 Annual Appeal (2005),94062,0015000000VRR1l
12/30/05,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94115,0015000000VRR1t
12/31/05,$500.00 ,Posted,FY06 Annual Appeal (2005),94115,0015000000VRR7v
1/9/06,$500.00 ,Posted,FY06 Annual Appeal (2005),94127,0015000000VRREs
1/9/06,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94010,0015000000VRR1x
1/10/06,$500.00 ,Posted,FY06 Annual Appeal (2005),94123,0015000000VRR25
1/11/06,$200.00 ,Posted,FY06 Annual Appeal (2005),92103,0015000000VRR16
1/11/06,$200.00 ,Posted,FY06 Annual Appeal (2005),94117,0015000000VRR5p
1/11/06,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),,0015000000VRRFP
1/11/06,"$2,500.00 ",Posted,FY06 Annual Appeal (2005),94904,0015000000VRR1V
1/18/06,"$2,000.00 ",Posted,FY06 Annual Appeal (2005),94301,0015000000VRR0K
1/18/06,"$2,500.00 ",Posted,FY06 Annual Appeal (2005),94010,0015000000VRR1U
1/30/06,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94549,0015000000VRR1I
1/30/06,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),94027,0015000000VRR1w
2/8/06,"$1,000.00 ",Posted,FY06 Annual Appeal (2005),60525,0015000000VRR0T
2/8/06,"$5,000.00 ",Posted,Proposal Submitted,94111,0015000000VRR1O
2/13/06,$500.00 ,Posted,FY06 Annual Appeal (2005),94133,0015000000VRRF1
3/1/06,"$25,000.00 ",Posted,Proposal Submitted,94118,0015000000VRR1W
3/7/06,$0.01 ,Posted,"March 7, 2006 Mayor's Event",95814,0015000000VRR7J
3/10/06,"$25,000.00 ",Posted,FY06 Annual Appeal (2005),94121,0015000000VRR2H
3/20/06,"$5,000.00 ",Posted,"March 7, 2006 Mayor's Event",94118,0015000000VRR1H
4/6/06,$0.01 ,Posted,In-Kind Gift,94109,0015000000VRREV
4/17/06,"$9,892.77 ",Posted,FY06 Annual Appeal (2005),94115,0015000000VRR1q
4/20/06,"$1,000.00 ",Posted,"March 7, 2006 Mayor's Event",94123,0015000000VRR1k
5/8/06,"$5,000.00 ",Posted,"March 7, 2006 Mayor's Event",,0015000000VRR0c
5/23/06,$500.00 ,Posted,FY06 Annual Appeal (2005),94010,0015000000VRR1v
5/26/06,"$50,000.00 ",Posted,Legacy Major Gifts,94118,0015000000VRR0d
5/27/06,"$30,000.00 ",Posted,"March 7, 2006 Mayor's Event",94301,0015000000VRR2A
5/31/06,"$2,000.00 ",Posted,Annual Giving (Not Year End),10023,0015000000VRRF0
5/31/06,$100.00 ,Posted,Annual Giving (Not Year End),94115,0015000000VRR0B
5/31/06,$107.23 ,Posted,FY06 Annual Appeal (2005),94115,0015000000VRR1q
5/31/06,$0.01 ,Posted,In-Kind Gift,85718,0015000000VRRFj
5/31/06,"$50,000.00 ",Posted,Legacy Major Gifts,94118,0015000000VRR1R
5/31/06,"$1,000.00 ",Posted,"March 7, 2006 Mayor's Event",W2 5JJ,0015000000VRR81
6/16/06,"$1,000.00 ",Posted,Annual Giving (Not Year End),94062,0015000000VRR4T
6/29/06,"$1,000.00 ",Posted,Annual Giving (Not Year End),94123,0015000000VRR0Z
8/8/06,"$1,000.00 ",Posted,FY07 Becca and Daniel's Wedding,95465,0015000000VRR0k
8/11/06,$200.00 ,Posted,FY07 Becca and Daniel's Wedding,94110,0015000000VRRGB
8/11/06,$500.00 ,Posted,FY07 Becca and Daniel's Wedding,94111,0015000000VRR0t
8/21/06,"$5,000.00 ",Posted,Annual Giving (Not Year End),94118,0015000000VRR1S
8/22/06,"$1,000.00 ",Posted,FY07 Becca and Daniel's Wedding,94920,0015000000VRR1E
8/27/06,$200.00 ,Posted,FY07 Becca and Daniel's Wedding,7079,0015000000VRR1f
9/4/06,$100.00 ,Posted,FY07 Becca and Daniel's Wedding,22101,0015000000VRRBU
9/5/06,$150.00 ,Posted,FY07 Becca and Daniel's Wedding,94941,0015000000VRR2e
9/5/06,$300.00 ,Posted,FY07 Becca and Daniel's Wedding,94118,0015000000VRR0R
9/5/06,$10.00 ,Posted,FY07 Becca and Daniel's Wedding,78731,0015000000VRR0A
9/13/06,$200.00 ,Posted,FY07 Becca and Daniel's Wedding,94115,0015000000VRRFU
9/14/06,$180.00 ,Posted,FY07 Becca and Daniel's Wedding,10591,0015000000VRREq
9/14/06,$200.00 ,Posted,FY07 Becca and Daniel's Wedding,10510,0015000000VRR0r
9/15/06,"$1,000.00 ",Posted,FY07 Becca and Daniel's Wedding,94920,0015000000VRR0j
9/15/06,"$1,000.00 ",Posted,FY07 Becca and Daniel's Wedding,94920,0015000000VRR0j
9/15/06,$500.00 ,Posted,FY07 Becca and Daniel's Wedding,94920,0015000000VRR0j
9/20/06,$360.00 ,Posted,FY07 Becca and Daniel's Wedding,94920,0015000000VRR0J
9/21/06,"$1,000.00 ",Posted,FY07 Becca and Daniel's Wedding,94103,0015000000VRR0y
10/3/06,"$1,000.00 ",Posted,FY07 Becca and Daniel's Wedding,94133,0015000000VRR26
10/3/06,"$1,000.00 ",Posted,"September 28, 2006 Woodside Event",94301,0015000000VRR1F
10/5/06,"$5,000.00 ",Posted,"September 28, 2006 Woodside Event",94301,0015000000VRR1X
10/10/06,"$10,000.00 ",Posted,"September 28, 2006 Woodside Event",94957,0015000000VRR1A
10/12/06,"$2,500.00 ",Posted,Annual Giving (Not Year End),94010,0015000000VRR12
10/19/06,$800.00 ,Posted,"September 28, 2006 Woodside Event",94301,0015000000VRR2A
10/31/06,"$1,000.00 ",Posted,Annual Giving (Not Year End),,0015000000VRR1i
11/3/06,"$25,000.00 ",Posted,FY07 Annual Appeal (2006),94109,0015000000VRR2L
11/3/06,"$2,500.00 ",Posted,FY07 Annual Appeal (2006),94010,0015000000VRR2a
11/8/06,"$50,000.00 ",Posted,FY07 Annual Appeal (2006),94121,0015000000VRR2H
11/17/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRR2j
11/20/06,$100.00 ,Posted,FY07 Annual Appeal (2006),94920,0015000000VRR0s
11/20/06,$150.00 ,Posted,FY07 Annual Appeal (2006),10021,0015000000VRR59
11/20/06,"$5,000.00 ",Posted,FY07 Annual Appeal (2006),94117,0015000000VRRFM
11/20/06,$250.00 ,Posted,FY07 Annual Appeal (2006),94115,0015000000VRR1m
11/20/06,$200.00 ,Posted,FY07 Becca and Daniel's Wedding,,0015000000VRRI8
11/22/06,"$5,000.00 ",Posted,FY07 Annual Appeal (2006),94025,0015000000VRR0O
11/22/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94118,0015000000VRR0v
11/22/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRRFE
11/27/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),33009,0015000000VRRGA
11/27/06,"$5,000.00 ",Posted,FY07 Annual Appeal (2006),,0015000000VRR2T
11/27/06,$250.00 ,Posted,FY07 Annual Appeal (2006),94116,0015000000VRR13
11/27/06,$100.00 ,Posted,FY07 Annual Appeal (2006),,0015000000VRRHj
11/27/06,"$25,000.00 ",Posted,FY07 Annual Appeal (2006),94010,0015000000VRR1r
11/29/06,$200.00 ,Posted,FY07 Annual Appeal (2006),94965,0015000000VRR2G
11/30/06,$500.00 ,Posted,FY07 Annual Appeal (2006),94611,0015000000VRR0W
12/4/06,$200.00 ,Posted,FY07 Annual Appeal (2006),,0015000000VRREp
12/4/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94109,0015000000VRR1a
12/4/06,$100.00 ,Posted,FY07 Annual Appeal (2006),94127,0015000000VRR2r
12/5/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94611,0015000000VRR0x
12/6/06,$85.00 ,Posted,FY07 Annual Appeal (2006),94109,0015000000VRRM9
12/7/06,$100.00 ,Posted,FY07 Annual Appeal (2006),94109,0015000000VRR2V
12/7/06,$250.00 ,Posted,FY07 Annual Appeal (2006),10023,0015000000VRRF0
12/7/06,$50.00 ,Posted,FY07 Annual Appeal (2006) Zephyr,,0015000000VRRKf
12/8/06,"$1,500.00 ",Posted,FY07 Annual Appeal (2006),94118,0015000000VRR17
12/8/06,$125.00 ,Posted,FY07 Annual Appeal (2006) Zephyr,94110,0015000000VRRK0
12/11/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),11217,0015000000VRR0S
12/11/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),11217,0015000000VRR0S
12/11/06,"$50,338.74 ",Posted,FY07 Annual Appeal (2006),94027,0015000000VRR2B
12/12/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94027,0015000000VRR0q
12/12/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),,0015000000VRRGe
12/12/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94103,0015000000VRR1z
12/13/06,$100.00 ,Posted,FY07 Annual Appeal (2006),94115,0015000000VRR2v
12/14/06,$50.00 ,Posted,FY07 Annual Appeal (2006) Zephyr,94044,0015000000VRR2w
12/14/06,$100.00 ,Posted,FY07 Annual Appeal (2006) Zephyr,94114,0015000000VRR2x
12/15/06,"$2,500.00 ",Posted,FY07 Annual Appeal (2006),94109,0015000000VRREW
12/15/06,$50.00 ,Posted,FY07 Annual Appeal (2006),94111,0015000000VRREh
12/15/06,"$10,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRR0m
12/15/06,$50.00 ,Posted,FY07 Annual Appeal (2006),2138,0015000000VRR2k
12/15/06,$100.00 ,Posted,FY07 Annual Appeal (2006),94133,0015000000VRR1s
12/18/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94118,0015000000VRR0L
12/18/06,$100.00 ,Posted,FY07 Annual Appeal (2006),94010,0015000000VRR2c
12/18/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94108,0015000000VRREr
12/18/06,$500.00 ,Posted,FY07 Annual Appeal (2006),,0015000000VRR56
12/18/06,$250.00 ,Posted,FY07 Annual Appeal (2006),90046,0015000000VRRM7
12/18/06,$500.00 ,Posted,FY07 Annual Appeal (2006),94010,0015000000VRR2U
12/18/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94133,0015000000VRR1h
12/18/06,$500.00 ,Posted,FY07 Annual Appeal (2006),94118,0015000000VRRFo
12/19/06,$25.00 ,Posted,FY07 Annual Appeal (2006),94110,0015000000VRRGB
12/19/06,$500.00 ,Posted,FY07 Annual Appeal (2006),94901,0015000000VRR4M
12/20/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRR7v
12/20/06,$200.00 ,Posted,FY07 Annual Appeal (2006),90049,0015000000VRR2z
12/20/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94904,0015000000VRR1V
12/21/06,"$10,000.00 ",Posted,FY07 Annual Appeal (2006),94010,0015000000VRR10
12/21/06,$500.00 ,Posted,FY07 Annual Appeal (2006),94118,0015000000VRREB
12/21/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94301,0015000000VRR1Y
12/22/06,$500.00 ,Posted,FY07 Annual Appeal (2006),94949,0015000000VRRGs
12/22/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94118,0015000000VRR31
12/22/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94022,0015000000VRR30
12/22/06,"$7,500.00 ",Posted,FY07 Annual Appeal (2006),94111,0015000000VRR1O
12/27/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),10017,0015000000VRRIC
12/27/06,$200.00 ,Posted,FY07 Annual Appeal (2006),94591,0015000000VRR2X
12/27/06,$300.00 ,Posted,FY07 Annual Appeal (2006),94901,0015000000VRRGG
12/27/06,$250.00 ,Posted,FY07 Annual Appeal (2006),,0015000000VRR73
12/27/06,"$10,000.00 ",Posted,FY07 Annual Appeal (2006),94118,0015000000VRR1N
12/27/06,"$10,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRR4u
12/27/06,$100.00 ,Posted,FY07 Annual Appeal (2006),90017,0015000000VRR32
12/27/06,$100.00 ,Posted,FY07 Annual Appeal (2006),94304,0015000000VRR1P
12/27/06,$500.00 ,Posted,FY07 Annual Appeal (2006),94115,0015000000VRRFm
12/27/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94133,0015000000VRR1p
12/27/06,"$9,916.11 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRR1q
12/27/06,$100.00 ,Posted,FY07 Annual Appeal (2006),,0015000000VRRG6
12/28/06,$250.00 ,Posted,FY07 Annual Appeal (2006),94549,0015000000VRR33
12/28/06,$150.00 ,Posted,FY07 Annual Appeal (2006),94109,0015000000VRRG3
12/28/06,$500.00 ,Posted,FY07 Annual Appeal (2006),94549,0015000000VRR0l
12/28/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94118,0015000000VRR34
12/28/06,$550.00 ,Posted,FY07 Annual Appeal (2006),94941,0015000000VRR1j
12/29/06,$200.00 ,Posted,FY07 Annual Appeal (2006),94110,0015000000VRRGB
12/29/06,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94107,0015000000VRREY
1/2/07,$500.00 ,Posted,FY07 Annual Appeal (2006),94117,0015000000VRRF3
1/2/07,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRR0B
1/3/07,$500.00 ,Posted,FY07 Annual Appeal (2006),94115,0015000000VRR36
1/3/07,$250.00 ,Posted,FY07 Annual Appeal (2006),94118,0015000000VRR35
1/3/07,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94611,0015000000VRREg
1/3/07,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),2144,0015000000VRR0u
1/3/07,$300.00 ,Posted,FY07 Annual Appeal (2006),94117,0015000000VRRF3
1/3/07,$500.00 ,Posted,FY07 Annual Appeal (2006),94118,0015000000VRRHP
1/3/07,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94133,0015000000VRR1J
1/3/07,$250.00 ,Posted,FY07 Annual Appeal (2006),94127,0015000000VRRBM
1/3/07,"$5,000.00 ",Posted,FY07 Annual Appeal (2006),94062,0015000000VRR1l
1/3/07,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRR1n
1/4/07,"$50,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRRBs
1/5/07,$100.00 ,Posted,FY07 Annual Appeal (2006),33301,0015000000VRR2P
1/8/07,$500.00 ,Posted,FY07 Annual Appeal (2006),94114,0015000000VRREk
1/9/07,"$7,500.00 ",Posted,FY07 Annual Appeal (2006),94123,0015000000VRR4y
1/9/07,"$25,000.00 ",Posted,FY07 Annual Appeal (2006),94115,0015000000VRR1L
1/9/07,"$5,000.00 ",Posted,FY07 Annual Appeal (2006),94010,0015000000VRR1U
1/11/07,$500.00 ,Posted,FY07 Annual Appeal (2006),94118,0015000000VRR2s
1/11/07,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94549,0015000000VRR1I
1/12/07,$425.00 ,Posted,FY07 Annual Appeal (2006),94104,0015000000VRRGW
1/18/07,"$3,000.00 ",Posted,FY07 Annual Appeal (2006),94027,0015000000VRR1w
1/23/07,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94010,0015000000VRR0U
1/23/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94115,0015000000VRR5y
1/24/07,$200.00 ,Posted,FY07 Annual Appeal (2006),94026,0015000000VRR2R
1/25/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94115,0015000000VRRFv
1/26/07,"$1,000.00 ",Posted,FY07 Annual Appeal (2006),94010,0015000000VRR1x
1/26/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94133,0015000000VRR3n
1/27/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94123,0015000000VRR3b
1/31/07,$500.00 ,Posted,FY07 Annual Appeal (2006),94114,0015000000VRRHy
1/31/07,"$50,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94062,0015000000VRR1d
2/1/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,,0015000000VRRNR
2/1/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94115,0015000000VRR1n
2/6/07,$50.00 ,Posted,FY07 Annual Appeal (2006),94112,0015000000VRR3x
2/6/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94025,0015000000VRR0O
2/6/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94027,0015000000VRR3m
2/8/07,"$2,500.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,10021,0015000000VRR3i
2/12/07,$200.00 ,Posted,FY07 Annual Appeal (2006),94941,0015000000VRR1j
2/12/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,95354,0015000000VRR3w
2/22/07,"$5,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,90291,0015000000VRRGE
2/26/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94118,0015000000VRR3j
2/27/07,"$5,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94611,0015000000VRR0W
3/1/07,"$5,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94904,0015000000VRR1V
3/1/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,,0015000000VRR1i
3/2/07,$900.61 ,Posted,Annual Giving (Not Year End),94115,0015000000VRR8P
3/5/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94920,0015000000VRR3H
3/5/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94027,0015000000VRRFY
3/6/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94573,0015000000VRR1B
3/6/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94010,0015000000VRR1x
3/7/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94109,0015000000VRRI5
3/7/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94117,0015000000VRRFL
3/8/07,$100.00 ,Posted,Annual Giving (Not Year End),94920,0015000000VRR4D
3/8/07,"$5,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94118,0015000000VRR0g
3/8/07,"$5,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94118,0015000000VRR0g
3/8/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94062,0015000000VRR11
3/8/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94127,0015000000VRR3u
3/9/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94920,0015000000VRR0Y
3/9/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94118,0015000000VRRFl
3/13/07,"$2,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94301,0015000000VRR0K
3/13/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,98122,0015000000VRR3z
3/13/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,97210,0015000000VRR41
3/13/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94957,0015000000VRR3y
3/13/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,98122,0015000000VRR40
3/13/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,98121,0015000000VRRFT
3/14/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94117,0015000000VRR5p
3/14/07,"$10,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94025,0015000000VRRFZ
3/14/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,10018,0015000000VRRNm
3/19/07,"$1,500.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,SW3 5NP,0015000000VRRNr
3/19/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94010,0015000000VRRN2
3/19/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94123,0015000000VRRGv
3/19/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94118,0015000000VRR58
3/19/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94105,0015000000VRREX
3/19/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94070,0015000000VRRGc
3/19/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94114,0015000000VRREk
3/19/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94118,0015000000VRR4E
3/19/07,"$9,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94301,0015000000VRR1X
3/19/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94301,0015000000VRR1X
3/19/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94920,0015000000VRR3X
3/19/07,$100.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,,0015000000VRRI4
3/19/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,33301,0015000000VRR2P
3/20/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94025,0015000000VRR0O
3/20/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94115,0015000000VRR7v
3/20/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,,0015000000VRRF9
3/20/07,"$9,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94957,0015000000VRR1A
3/20/07,$100.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94118,0015000000VRR1M
3/21/07,"$1,000.00 ",Posted,FY07 GIVE*GET Event - Table & Tix Sales,94133,0015000000VRR26
3/21/07,$500.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94107,0015000000VRREY
3/21/07,$250.00 ,Posted,FY07 GIVE*GET Event - Table & Tix Sales,94118,0015000000VRRNs
